open_time,open,high,low,close,volume,close_time
1640995200000,46216.93000000,46949.99000000,46208.37000000,46813.20000000,3495.20465000,1641009599999
1641009600000,46813.21000000,47555.55000000,46591.23000000,47194.73000000,3522.79888000,1641023999999
1641024000000,47194.73000000,47344.69000000,46715.39000000,46758.87000000,2729.67811000,1641038399999
1641038400000,46758.87000000,47491.14000000,46756.30000000,47219.04000000,3055.90946000,1641052799999
1641052800000,47219.04000000,47954.63000000,47186.07000000,47329.78000000,4061.67681000,1641067199999
1641067200000,47329.79000000,47814.00000000,47222.22000000,47722.65000000,2739.19534000,1641081599999
1641081600000,47722.66000000,47750.00000000,47269.47000000,47329.47000000,2387.90724000,1641095999999
1641096000000,47329.47000000,47415.73000000,46770.23000000,47173.45000000,3018.46827000,1641110399999
1641110400000,47173.44000000,47499.45000000,46970.05000000,47235.50000000,2119.84865000,1641124799999
1641124800000,47238.89000000,47447.00000000,47013.50000000,47340.47000000,2780.32874000,1641139199999
1641139200000,47340.47000000,47990.00000000,46654.00000000,46907.68000000,5597.88593000,1641153599999
1641153600000,46907.67000000,47469.34000000,46815.17000000,47286.18000000,2436.02157000,1641167999999
1641168000000,47286.18000000,47289.11000000,46722.39000000,46793.26000000,2994.31942000,1641182399999
1641182400000,46793.27000000,47211.09000000,46750.00000000,47051.37000000,2838.97703000,1641196799999
1641196800000,47051.36000000,47431.67000000,46778.00000000,47378.00000000,4262.39073000,1641211199999
1641211200000,47378.00000000,47570.00000000,46575.25000000,46693.45000000,5463.72051000,1641225599999
1641225600000,46693.44000000,46790.00000000,46263.29000000,46360.01000000,5861.46189000,1641239999999
1641240000000,46360.01000000,46576.94000000,45696.00000000,46446.10000000,6241.20752000,1641254399999
1641254400000,46446.10000000,46549.19000000,45934.50000000,46313.97000000,3604.76267000,1641268799999
1641268800000,46313.96000000,46600.21000000,45996.26000000,46550.00000000,5734.35172000,1641283199999
1641283200000,46549.99000000,46772.41000000,46300.00000000,46733.77000000,4686.53220000,1641297599999
1641297600000,46733.78000000,47557.54000000,46410.00000000,46925.35000000,8065.90334000,1641311999999
1641312000000,46925.34000000,46984.99000000,45500.00000000,46052.36000000,9855.45649000,1641326399999
1641326400000,46052.35000000,46428.27000000,45760.05000000,45832.01000000,3544.40718000,1641340799999
1641340800000,45832.01000000,46549.00000000,45722.21000000,46422.55000000,3034.64069000,1641355199999
1641355200000,46422.56000000,46527.39000000,46246.01000000,46407.51000000,2185.03432000,1641369599999
1641369600000,46407.50000000,47070.00000000,46110.00000000,46270.99000000,5623.80527000,1641383999999
1641384000000,46271.00000000,46822.17000000,45803.67000000,46622.53000000,6056.26257000,1641398399999
1641398400000,46622.53000000,46674.37000000,44500.00000000,44685.93000000,13258.75934000,1641412799999
1641412800000,44685.93000000,44847.99000000,42500.00000000,43451.13000000,21625.61638000,1641427199999
1641427200000,43451.14000000,43816.00000000,42803.37000000,42835.00000000,7907.29623000,1641441599999
1641441600000,42835.00000000,43275.80000000,42600.05000000,43245.25000000,7148.39091000,1641455999999
1641456000000,43245.26000000,43273.87000000,42430.58000000,42878.34000000,7751.79420000,1641470399999
1641470400000,42878.33000000,43267.09000000,42632.44000000,42950.01000000,7414.23595000,1641484799999
1641484800000,42950.02000000,43508.78000000,42725.09000000,43438.10000000,5500.53168000,1641499199999
1641499200000,43438.11000000,43581.30000000,43007.81000000,43082.31000000,3158.12408000,1641513599999
1641513600000,43082.30000000,43145.83000000,41577.77000000,41803.11000000,9110.36283000,1641527999999
1641528000000,41803.11000000,41950.00000000,41000.00000000,41706.71000000,12822.50440000,1641542399999
1641542400000,41706.71000000,42883.47000000,41607.50000000,42258.62000000,7627.20984000,1641556799999
1641556800000,42258.62000000,42766.17000000,40610.00000000,41319.11000000,13946.04637000,1641571199999
1641571200000,41310.85000000,42315.85000000,40917.66000000,41775.38000000,7870.74271000,1641585599999
1641585600000,41775.38000000,42054.00000000,41336.82000000,41566.48000000,3459.64203000,1641599999999
1641600000000,41566.48000000,42246.37000000,41558.00000000,41810.91000000,3546.24518000,1641614399999
1641614400000,41810.92000000,41999.99000000,41739.00000000,41913.58000000,2135.49013000,1641628799999
1641628800000,41913.59000000,42200.00000000,41767.16000000,41940.22000000,3321.30192000,1641643199999
1641643200000,41940.22000000,42063.23000000,41400.00000000,41613.33000000,4171.17885000,1641657599999
1641657600000,41609.60000000,41740.53000000,40501.00000000,40831.07000000,12549.74604000,1641671999999
1641672000000,40831.06000000,42300.00000000,40720.00000000,41679.74000000,7228.76899000,1641686399999
1641686400000,41679.74000000,42170.11000000,41388.13000000,41833.89000000,4255.72958000,1641700799999
1641700800000,41833.90000000,42103.31000000,41681.17000000,41791.51000000,2460.77120000,1641715199999
1641715200000,41791.50000000,41990.00000000,41410.00000000,41857.62000000,3137.48125000,1641729599999
1641729600000,41857.62000000,41923.39000000,41200.02000000,41621.11000000,3367.82823000,1641743999999
1641744000000,41621.11000000,42740.00000000,41556.49000000,42695.26000000,5802.65087000,1641758399999
1641758400000,42695.27000000,42786.70000000,41766.43000000,41864.62000000,3699.93313000,1641772799999
1641772800000,41864.62000000,42037.05000000,41601.00000000,41967.59000000,3090.07632000,1641787199999
1641787200000,41967.59000000,42248.50000000,41811.70000000,42042.38000000,3216.08520000,1641801599999
1641801600000,42042.38000000,42116.61000000,41455.00000000,41565.34000000,4092.19411000,1641815999999
1641816000000,41565.33000000,41616.72000000,39650.00000000,40984.33000000,22660.39365000,1641830399999
1641830400000,40984.34000000,42121.63000000,40564.89000000,41297.15000000,13657.42788000,1641844799999
1641844800000,41297.15000000,41985.00000000,41158.99000000,41822.49000000,4012.99303000,1641859199999
1641859200000,41822.49000000,42400.01000000,41544.64000000,42277.98000000,4934.14719000,1641873599999
1641873600000,42277.99000000,42387.78000000,41971.37000000,42211.05000000,3883.13068000,1641887999999
1641888000000,42212.21000000,42627.66000000,41575.00000000,41809.99000000,6072.63206000,1641902399999
1641902400000,41809.99000000,42200.00000000,41268.93000000,41733.93000000,7345.13139000,1641916799999
1641916800000,41733.92000000,43100.00000000,41680.44000000,42972.05000000,11896.68845000,1641931199999
1641931200000,42972.04000000,43095.26000000,42597.41000000,42729.29000000,3164.70752000,1641945599999
1641945600000,42729.29000000,42965.00000000,42450.00000000,42605.02000000,3086.64021000,1641959999999
1641960000000,42605.01000000,42867.55000000,42463.13000000,42561.67000000,3336.77438000,1641974399999
1641974400000,42561.66000000,43443.60000000,42508.69000000,42935.92000000,6248.56105000,1641988799999
1641988800000,42935.92000000,44078.40000000,42874.01000000,43560.29000000,12273.47054000,1642003199999
1642003200000,43560.29000000,43886.26000000,43317.00000000,43743.11000000,4601.65301000,1642017599999
1642017600000,43743.10000000,44322.00000000,43629.39000000,43902.66000000,4396.19361000,1642031999999
