open_time,open,high,low,close,volume,close_time
1641412800000,3655.29000000,3666.14000000,3415.00000000,3540.63000000,174875.83830000,1641427199999
1641427200000,3539.82000000,3550.43000000,3445.75000000,3448.83000000,84114.40640000,1641441599999
1641441600000,3448.83000000,3480.42000000,3406.24000000,3453.12000000,95682.85490000,1641455999999
1641456000000,3453.04000000,3456.05000000,3300.00000000,3349.49000000,134482.58450000,1641470399999
1641470400000,3349.49000000,3426.00000000,3318.00000000,3397.01000000,88961.66320000,1641484799999
1641484800000,3397.01000000,3461.33000000,3382.11000000,3447.29000000,61229.44410000,1641499199999
1641499200000,3447.28000000,3458.73000000,3405.74000000,3406.81000000,32274.78820000,1641513599999
1641513600000,3406.81000000,3416.76000000,3227.82000000,3238.74000000,98869.04970000,1641527999999
1641528000000,3238.74000000,3251.42000000,3113.25000000,3202.25000000,182082.16870000,1641542399999
1641542400000,3201.75000000,3289.00000000,3188.01000000,3225.68000000,90340.77230000,1641556799999
1641556800000,3225.86000000,3268.79000000,3064.42000000,3131.69000000,163786.62340000,1641571199999
1641571200000,3131.69000000,3222.69000000,3091.00000000,3197.32000000,93458.94220000,1641585599999
1641585600000,3197.33000000,3225.24000000,3165.17000000,3199.24000000,41094.16990000,1641599999999
1641600000000,3198.68000000,3246.70000000,3181.00000000,3203.50000000,41016.56300000,1641614399999
1641614400000,3203.77000000,3230.01000000,3191.50000000,3216.13000000,35052.48630000,1641628799999
1641628800000,3216.14000000,3250.00000000,3198.64000000,3219.95000000,47637.13420000,1641643199999
1641643200000,3219.96000000,3230.33000000,3147.09000000,3160.72000000,51005.60130000,1641657599999
1641657600000,3160.33000000,3180.00000000,3000.00000000,3028.75000000,151772.32310000,1641671999999
1641672000000,3028.75000000,3133.56000000,3003.30000000,3080.95000000,74207.99820000,1641686399999
1641686400000,3080.98000000,3146.25000000,3057.35000000,3120.57000000,57736.12820000,1641700799999
1641700800000,3120.56000000,3147.53000000,3116.38000000,3127.51000000,29104.94680000,1641715199999
1641715200000,3127.51000000,3140.00000000,3084.81000000,3128.42000000,45132.74570000,1641729599999
1641729600000,3128.42000000,3135.00000000,3072.71000000,3098.05000000,41899.31280000,1641743999999
1641744000000,3098.06000000,3209.64000000,3092.34000000,3203.91000000,67564.00800000,1641758399999
1641758400000,3204.11000000,3211.72000000,3143.84000000,3151.97000000,34437.02280000,1641772799999
1641772800000,3151.97000000,3171.25000000,3128.11000000,3155.04000000,34457.66780000,1641787199999
1641787200000,3155.04000000,3185.00000000,3152.00000000,3163.24000000,37150.89920000,1641801599999
1641801600000,3163.24000000,3169.91000000,3094.39000000,3104.50000000,53386.36690000,1641815999999
1641816000000,3104.42000000,3110.94000000,2928.83000000,3006.26000000,229791.23700000,1641830399999
1641830400000,3006.27000000,3095.00000000,2970.68000000,3029.75000000,130708.94060000,1641844799999
1641844800000,3029.75000000,3096.15000000,3019.17000000,3082.68000000,44323.27510000,1641859199999
1641859200000,3082.87000000,3128.50000000,3051.80000000,3120.20000000,45638.91110000,1641873599999
1641873600000,3119.79000000,3137.01000000,3097.57000000,3129.59000000,31768.86370000,1641887999999
1641888000000,3129.59000000,3146.98000000,3088.00000000,3110.93000000,53502.80760000,1641902399999
1641902400000,3110.92000000,3158.56000000,3075.48000000,3133.56000000,65918.73390000,1641916799999
1641916800000,3133.55000000,3263.54000000,3130.00000000,3237.18000000,137059.46950000,1641931199999
1641931200000,3237.17000000,3249.06000000,3223.22000000,3239.72000000,28557.92290000,1641945599999
1641945600000,3239.73000000,3259.99000000,3217.52000000,3234.52000000,37172.05490000,1641959999999
